Name, Type, Size, isInitialized, Offset
!,operator,16,1,1456
!=,operator,16,1,1232
#V0,int,4,0,1656
#V1,float,4,0,1664
%,operator,16,1,1552
%=,operator,16,1,1008
&,operator,16,1,1440
&&,operator,16,1,1152
&=,operator,16,1,1024
(,operator,16,1,1360
),operator,16,1,1376
*,operator,16,1,1520
*=,operator,16,1,976
+,operator,16,1,1504
++,operator,16,1,1104
+=,operator,16,1,944
,,operator,16,1,1312
-,operator,16,1,1488
--,operator,16,1,1120
-=,operator,16,1,960
->,operator,16,1,1136
.,operator,16,1,1424
...,operator,16,1,896
/,operator,16,1,1536
/=,operator,16,1,992
:,operator,16,1,1328
::,operator,16,1,880
;,operator,16,1,1248
<,operator,16,1,1568
<<,operator,16,1,1088
<<=,operator,16,1,928
<=,operator,16,1,1184
=,operator,16,1,1344
==,operator,16,1,1216
>,operator,16,1,1584
>=,operator,16,1,1200
>>,operator,16,1,1072
>>=,operator,16,1,912
>>>,operator,16,1,848
>>>=,operator,16,1,864
?,operator,16,1,1632
@,operator,16,1,1264
[,operator,16,1,1392
],operator,16,1,1408
^,operator,16,1,1600
^=,operator,16,1,1040
abstract,keyword,16,1,0
assert,keyword,16,1,64
boolean,keyword,16,1,144
break,keyword,16,1,192
byte,keyword,16,1,240
char,keyword,16,1,384
class,keyword,16,1,464
continue,keyword,16,1,16
default,keyword,16,1,80
double,keyword,16,1,208
else,keyword,16,1,256
enum,keyword,16,1,288
exports,keyword,16,1,592
final,keyword,16,1,400
float,keyword,16,1,528
for,keyword,16,1,32
if,keyword,16,1,96
instanceof,keyword,16,1,304
int,keyword,16,1,352
interface,keyword,16,1,416
long,keyword,16,1,480
module,keyword,16,1,656
native,keyword,16,1,544
new,keyword,16,1,48
non-sealed,keyword,16,1,720
open,keyword,16,1,784
opens,keyword,16,1,608
package,keyword,16,1,112
permits,keyword,16,1,672
private,keyword,16,1,160
provides,keyword,16,1,736
public,keyword,16,1,272
record,keyword,16,1,800
requires,keyword,16,1,624
return,keyword,16,1,320
sealed,keyword,16,1,688
short,keyword,16,1,368
static,keyword,16,1,432
strictfp,keyword,16,1,496
super,keyword,16,1,560
synchronized,keyword,16,1,128
system.out.println,FUNC_void,4,0,1648
this,keyword,16,1,176
throw,keyword,16,1,224
to,keyword,16,1,752
transient,keyword,16,1,336
transitive,keyword,16,1,816
uses,keyword,16,1,640
var,keyword,16,1,704
void,keyword,16,1,448
volatile,keyword,16,1,512
while,keyword,16,1,576
with,keyword,16,1,768
yield,keyword,16,1,832
{,operator,16,1,1280
|,operator,16,1,1616
|=,operator,16,1,1056
||,operator,16,1,1168
},operator,16,1,1296
~,operator,16,1,1472
